sale_id,order_id,order_date,order_year,order_quarter,month_name,customer_name,region,segment,sku,product_name,category,unit_cost,quantity,unit_price,discount_pct,line_revenue,line_margin
1,ORD-000001,2024-08-22,2024,3,August,Customer 005,West,Enterprise,SKU-0028,Product 28,Furniture,72.66,6,88.96,0.0,533.76,97.8
2,ORD-000002,2024-10-12,2024,4,October,Customer 043,West,SMB,SKU-0007,Product 7,Electronics,63.38,9,81.69,0.1,661.69,91.27
3,ORD-000002,2024-10-12,2024,4,October,Customer 043,West,SMB,SKU-0019,Product 19,Accessories,19.77,8,27.78,0.05,211.13,52.97
4,ORD-000002,2024-10-12,2024,4,October,Customer 043,West,SMB,SKU-0026,Product 26,Furniture,18.92,7,25.54,0.0,178.78,46.34
5,ORD-000002,2024-10-12,2024,4,October,Customer 043,West,SMB,SKU-0022,Product 22,Furniture,115.9,7,176.4,0.05,1173.06,361.76
6,ORD-000003,2025-04-23,2025,2,April,Customer 047,West,Consumer,SKU-0022,Product 22,Furniture,115.9,2,140.66,0.15,239.12,7.32
7,ORD-000004,2024-12-13,2024,4,December,Customer 007,Central,Consumer,SKU-0007,Product 7,Electronics,63.38,4,108.58,0.0,434.32,180.8
8,ORD-000004,2024-12-13,2024,4,December,Customer 007,Central,Consumer,SKU-0014,Product 14,Office,106.05,3,152.97,0.0,458.91,140.76
9,ORD-000005,2024-03-18,2024,1,March,Customer 029,South,Consumer,SKU-0002,Product 2,Office,93.39,9,189.38,0.0,1704.42,863.91
10,ORD-000006,2024-08-30,2024,3,August,Customer 011,North,Enterprise,SKU-0016,Product 16,Electronics,105.97,8,145.65,0.05,1106.94,259.18
11,ORD-000006,2024-08-30,2024,3,August,Customer 011,North,Enterprise,SKU-0029,Product 29,Electronics,72.67,1,96.13,0.0,96.13,23.46
12,ORD-000006,2024-08-30,2024,3,August,Customer 011,North,Enterprise,SKU-0013,Product 13,Office,7.24,5,15.37,0.05,73.01,36.81
13,ORD-000006,2024-08-30,2024,3,August,Customer 011,North,Enterprise,SKU-0010,Product 10,Furniture,22.58,7,42.48,0.15,252.76,94.7
14,ORD-000007,2025-07-23,2025,3,July,Customer 043,West,SMB,SKU-0005,Product 5,Office,114.69,4,167.62,0.0,670.48,211.72
15,ORD-000007,2025-07-23,2025,3,July,Customer 043,West,SMB,SKU-0019,Product 19,Accessories,19.77,9,24.0,0.0,216.0,38.07
16,ORD-000007,2025-07-23,2025,3,July,Customer 043,West,SMB,SKU-0002,Product 2,Office,93.39,1,164.68,0.1,148.21,54.82
17,ORD-000007,2025-07-23,2025,3,July,Customer 043,West,SMB,SKU-0030,Product 30,Electronics,13.16,9,17.31,0.1,140.21,21.77
18,ORD-000008,2024-03-23,2024,1,March,Customer 012,West,SMB,SKU-0020,Product 20,Furniture,113.89,2,211.72,0.0,423.44,195.66
19,ORD-000009,2025-02-17,2025,1,February,Customer 008,Central,Enterprise,SKU-0019,Product 19,Accessories,19.77,10,23.56,0.0,235.6,37.9
20,ORD-000009,2025-02-17,2025,1,February,Customer 008,Central,Enterprise,SKU-0014,Product 14,Office,106.05,10,184.9,0.0,1849.0,788.5
21,ORD-000010,2024-09-24,2024,3,September,Customer 014,East,Enterprise,SKU-0008,Product 8,Office,105.11,5,164.56,0.15,699.38,173.83
22,ORD-000010,2024-09-24,2024,3,September,Customer 014,East,Enterprise,SKU-0021,Product 21,Accessories,35.48,5,57.84,0.0,289.2,111.8
23,ORD-000010,2024-09-24,2024,3,September,Customer 014,East,Enterprise,SKU-0001,Product 1,Office,87.88,8,158.38,0.1,1140.34,437.3
24,ORD-000011,2024-04-12,2024,2,April,Customer 005,West,Enterprise,SKU-0017,Product 17,Accessories,14.85,5,19.14,0.0,95.7,21.45
25,ORD-000011,2024-04-12,2024,2,April,Customer 005,West,Enterprise,SKU-0029,Product 29,Electronics,72.67,2,150.66,0.0,301.32,155.98
26,ORD-000012,2024-10-18,2024,4,October,Customer 011,North,Enterprise,SKU-0027,Product 27,Electronics,12.36,9,23.34,0.1,189.05,77.81
27,ORD-000012,2024-10-18,2024,4,October,Customer 011,North,Enterprise,SKU-0026,Product 26,Furniture,18.92,9,21.91,0.1,177.47,7.19
28,ORD-000012,2024-10-18,2024,4,October,Customer 011,North,Enterprise,SKU-0010,Product 10,Furniture,22.58,2,48.23,0.0,96.46,51.3
29,ORD-000012,2024-10-18,2024,4,October,Customer 011,North,Enterprise,SKU-0009,Product 9,Furniture,101.79,2,212.15,0.15,360.65,157.07
30,ORD-000013,2025-07-20,2025,3,July,Customer 010,West,Consumer,SKU-0010,Product 10,Furniture,22.58,10,30.96,0.0,309.6,83.8
31,ORD-000013,2025-07-20,2025,3,July,Customer 010,West,Consumer,SKU-0007,Product 7,Electronics,63.38,5,106.52,0.0,532.6,215.7
32,ORD-000013,2025-07-20,2025,3,July,Customer 010,West,Consumer,SKU-0029,Product 29,Electronics,72.67,1,90.61,0.05,86.08,13.41
33,ORD-000014,2024-10-10,2024,4,October,Customer 003,South,Consumer,SKU-0011,Product 11,Electronics,67.03,3,121.93,0.0,365.79,164.7
34,ORD-000015,2024-06-14,2024,2,June,Customer 048,West,SMB,SKU-0018,Product 18,Furniture,98.84,7,171.88,0.0,1203.16,511.28
35,ORD-000015,2024-06-14,2024,2,June,Customer 048,West,SMB,SKU-0003,Product 3,Accessories,17.83,3,30.72,0.0,92.16,38.67
36,ORD-000015,2024-06-14,2024,2,June,Customer 048,West,SMB,SKU-0019,Product 19,Accessories,19.77,9,25.81,0.0,232.29,54.36
37,ORD-000015,2024-06-14,2024,2,June,Customer 048,West,SMB,SKU-0002,Product 2,Office,93.39,5,143.16,0.0,715.8,248.85
38,ORD-000016,2025-01-01,2025,1,January,Customer 014,East,Enterprise,SKU-0022,Product 22,Furniture,115.9,2,176.33,0.1,317.39,85.59
39,ORD-000016,2025-01-01,2025,1,January,Customer 014,East,Enterprise,SKU-0029,Product 29,Electronics,72.67,7,157.88,0.15,939.39,430.7
40,ORD-000017,2024-06-07,2024,2,June,Customer 016,East,Consumer,SKU-0026,Product 26,Furniture,18.92,3,39.27,0.0,117.81,61.05
41,ORD-000017,2024-06-07,2024,2,June,Customer 016,East,Consumer,SKU-0006,Product 6,Furniture,116.77,6,230.21,0.05,1312.2,611.58
42,ORD-000018,2025-11-16,2025,4,November,Customer 048,West,SMB,SKU-0009,Product 9,Furniture,101.79,3,201.21,0.0,603.63,298.26
43,ORD-000018,2025-11-16,2025,4,November,Customer 048,West,SMB,SKU-0013,Product 13,Office,7.24,1,14.85,0.0,14.85,7.61
44,ORD-000019,2024-07-23,2024,3,July,Customer 030,South,Enterprise,SKU-0010,Product 10,Furniture,22.58,4,31.25,0.15,106.25,15.93
45,ORD-000019,2024-07-23,2024,3,July,Customer 030,South,Enterprise,SKU-0007,Product 7,Electronics,63.38,7,94.73,0.0,663.11,219.45
46,ORD-000019,2024-07-23,2024,3,July,Customer 030,South,Enterprise,SKU-0025,Product 25,Accessories,55.38,5,84.11,0.1,378.5,101.59
47,ORD-000020,2025-02-13,2025,1,February,Customer 044,South,Consumer,SKU-0001,Product 1,Office,87.88,2,181.99,0.0,363.98,188.22
48,ORD-000020,2025-02-13,2025,1,February,Customer 044,South,Consumer,SKU-0006,Product 6,Furniture,116.77,10,252.3,0.0,2523.0,1355.3
49,ORD-000020,2025-02-13,2025,1,February,Customer 044,South,Consumer,SKU-0002,Product 2,Office,93.39,2,165.9,0.0,331.8,145.02
50,ORD-000021,2024-11-17,2024,4,November,Customer 028,North,Consumer,SKU-0013,Product 13,Office,7.24,10,9.77,0.0,97.7,25.3
51,ORD-000022,2025-12-26,2025,4,December,Customer 028,North,Consumer,SKU-0017,Product 17,Accessories,14.85,9,27.79,0.15,212.59,78.94
52,ORD-000023,2025-11-17,2025,4,November,Customer 013,South,Enterprise,SKU-0014,Product 14,Office,106.05,2,227.62,0.0,455.24,243.14
53,ORD-000023,2025-11-17,2025,4,November,Customer 013,South,Enterprise,SKU-0020,Product 20,Furniture,113.89,6,210.3,0.0,1261.8,578.46
54,ORD-000023,2025-11-17,2025,4,November,Customer 013,South,Enterprise,SKU-0024,Product 24,Office,119.44,5,200.96,0.15,854.08,256.88
55,ORD-000024,2025-02-22,2025,1,February,Customer 021,South,Consumer,SKU-0023,Product 23,Accessories,86.99,5,150.68,0.0,753.4,318.45
56,ORD-000024,2025-02-22,2025,1,February,Customer 021,South,Consumer,SKU-0014,Product 14,Office,106.05,7,197.38,0.0,1381.66,639.31
57,ORD-000024,2025-02-22,2025,1,February,Customer 021,South,Consumer,SKU-0020,Product 20,Furniture,113.89,10,166.96,0.1,1502.64,363.74
58,ORD-000024,2025-02-22,2025,1,February,Customer 021,South,Consumer,SKU-0027,Product 27,Electronics,12.36,1,18.16,0.0,18.16,5.8
59,ORD-000025,2025-03-16,2025,1,March,Customer 038,West,Consumer,SKU-0015,Product 15,Furniture,32.54,8,52.53,0.0,420.24,159.92
60,ORD-000025,2025-03-16,2025,1,March,Customer 038,West,Consumer,SKU-0017,Product 17,Accessories,14.85,8,29.45,0.15,200.26,81.46
61,ORD-000025,2025-03-16,2025,1,March,Customer 038,West,Consumer,SKU-0006,Product 6,Furniture,116.77,2,169.08,0.15,287.44,53.9
62,ORD-000026,2025-10-10,2025,4,October,Customer 040,South,Consumer,SKU-0003,Product 3,Accessories,17.83,4,33.1,0.0,132.4,61.08
